fname,label
5388d14d.wav,Saxophone
c685f05f.wav,Saxophone
36d20ab5.wav,Saxophone
d6665734.wav,Saxophone
7352e28f.wav,Saxophone
8fa096bf.wav,Saxophone
2f9c5f62.wav,Saxophone
9cd05a2b.wav,Saxophone
ab465bf9.wav,Saxophone
c40632d7.wav,Saxophone
3a80061f.wav,Saxophone
dba6817d.wav,Saxophone
25f26095.wav,Saxophone
37cebbd4.wav,Saxophone
f8d96888.wav,Saxophone
d94c94f0.wav,Saxophone
ec6afeb6.wav,Saxophone
5f0dc8e4.wav,Saxophone
b8c0a88a.wav,Saxophone
96dad435.wav,Saxophone
b120dc90.wav,Saxophone
c1948f24.wav,Saxophone
ac097834.wav,Saxophone
4345851e.wav,Saxophone
5d4f8187.wav,Saxophone
b83049f4.wav,Saxophone
c1c3c8b9.wav,Saxophone
78a86075.wav,Saxophone
f0d315bc.wav,Saxophone
9c0838c1.wav,Saxophone
d6144e01.wav,Violin_or_fiddle
cfb9c5fd.wav,Violin_or_fiddle
c6865306.wav,Violin_or_fiddle
642aba58.wav,Violin_or_fiddle
848faca3.wav,Violin_or_fiddle
7eb9dac0.wav,Violin_or_fiddle
8d7d7dba.wav,Violin_or_fiddle
2424ad60.wav,Violin_or_fiddle
ba648ac1.wav,Violin_or_fiddle
2e4a9850.wav,Violin_or_fiddle
2cc8683d.wav,Violin_or_fiddle
7b6a119e.wav,Violin_or_fiddle
68589f79.wav,Violin_or_fiddle
fec00143.wav,Violin_or_fiddle
1b24c166.wav,Violin_or_fiddle
6eb59008.wav,Violin_or_fiddle
0e7cd4eb.wav,Violin_or_fiddle
56e79c6f.wav,Violin_or_fiddle
cdc5fe8e.wav,Violin_or_fiddle
b38409bb.wav,Violin_or_fiddle
c8c117dc.wav,Violin_or_fiddle
b73c3595.wav,Violin_or_fiddle
d84c8c43.wav,Violin_or_fiddle
d914225a.wav,Violin_or_fiddle
1148986e.wav,Violin_or_fiddle
e3f479f3.wav,Violin_or_fiddle
aab28420.wav,Violin_or_fiddle
21346775.wav,Violin_or_fiddle
cdeece57.wav,Violin_or_fiddle
c9fb642d.wav,Violin_or_fiddle
078f7ac0.wav,Hi-hat
e897db78.wav,Hi-hat
b31ed1fb.wav,Hi-hat
06c48eab.wav,Hi-hat
2503aaa1.wav,Hi-hat
3d3439f1.wav,Hi-hat
34a90030.wav,Hi-hat
da4b0379.wav,Hi-hat
a090c45a.wav,Hi-hat
41897c32.wav,Hi-hat
2032be87.wav,Hi-hat
73677128.wav,Hi-hat
c53a217e.wav,Hi-hat
f0dfe343.wav,Hi-hat
0ed06544.wav,Hi-hat
99c96a07.wav,Hi-hat
3a3d0279.wav,Hi-hat
612702c3.wav,Hi-hat
d6854eb4.wav,Hi-hat
52300f9b.wav,Hi-hat
09a1cfd7.wav,Hi-hat
3aafb6ad.wav,Hi-hat
493c247b.wav,Hi-hat
5ec7ad26.wav,Hi-hat
a1b369d7.wav,Hi-hat
8cd809d3.wav,Hi-hat
aed9d22f.wav,Hi-hat
a7964699.wav,Hi-hat
da3f8050.wav,Hi-hat
468f9c4c.wav,Hi-hat
229be2be.wav,Snare_drum
b6cbc6a9.wav,Snare_drum
ae7d1c37.wav,Snare_drum
82d4fb44.wav,Snare_drum
4c590f69.wav,Snare_drum
1c9a423f.wav,Snare_drum
f0727eac.wav,Snare_drum
31db8c5e.wav,Snare_drum
b86b5a96.wav,Snare_drum
6fca680b.wav,Snare_drum
1bc8eae1.wav,Snare_drum
46b52f97.wav,Snare_drum
0c67f402.wav,Snare_drum
c8ecbbfd.wav,Snare_drum
9f84ea5a.wav,Snare_drum
e4958adc.wav,Snare_drum
5ce40b1b.wav,Snare_drum
9d308738.wav,Snare_drum
1e3391d5.wav,Snare_drum
ff3f21e7.wav,Snare_drum
b68f10af.wav,Snare_drum
e8e00924.wav,Snare_drum
22e1c02c.wav,Snare_drum
5c33d972.wav,Snare_drum
9320c55f.wav,Snare_drum
f1754aea.wav,Snare_drum
b218444c.wav,Snare_drum
36d06cc0.wav,Snare_drum
4c4d4797.wav,Snare_drum
cae0d841.wav,Snare_drum
